Wert,Betrag / Satz,Betroffene Seite,Flag,Letzte Änderung um,Prüfen bis,Quelle,Rechtsgrundlage §,Rechtsnatur,Rechtsstand
10-K02 — BGF-Ableitung aus der Wohnfläche,"Faktor 1,35 (MFH) · 1,25 (EFH/ZFH)",03 · AfA (Abschreibung) (https://app.notion.com/p/03-AfA-Abschreibung-3a95fd4207318179b865c8a1c9e4b487?pvs=21),verify-before-production,28. Juli 2026 16:37,5. August 2026,,keine — Schätzung ohne Rechtsgrundlage,Heuristik,07/2026
"Kaution = durchlaufender Posten (Verrechnungskonto, nie Ertrag)",,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),verify-before-production,28. Juli 2026 17:16,5. August 2026,,§ 551 BGB / Rechenkonvention (11-K04),Konvention,07/2026
GoBD / Unveränderbarkeit — Export-Archiv (Hash + Zeitstempel) + Ledger-Audit-Trail,,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,,"§§ 145–147 AO, GoBD (BMF v. 28.11.2019)",Gesetz,07/2026
"Tilgungsreihenfolge bei Teilleistung (Analogie: erst Kaltmiete, dann NK-Vorauszahlung)",,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,https://www.gesetze-im-internet.de/bgb/__366.html,§ 366 Abs. 2 BGB,Gesetz,07/2026
"DATEV-EXTF-Formatparameter (EXTF/700/21/Buchungsstapel/13, Win-1252, ';', CRLF, TTMM)","Header-Version 700, Kategorie 21, Formatversion 13",04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),verify-before-production,28. Juli 2026 17:16,5. August 2026,https://developer.datev.de/de/file-format/details/datev-format/format-description/header,"DATEV-Formatspezifikation (proprietär, http://developer.datev.de)",Konvention,07/2026
Schuldzinsen als gekennzeichneter Vorschlagswert aus dem Tilgungsplan (nie stille Übernahme),,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),verify-before-production,28. Juli 2026 17:16,5. August 2026,,§ 9 Abs. 1 S. 3 Nr. 1 EStG (Umsetzungskonvention 11-K07),Konvention,07/2026
"Anlage-V-Zeilennummern je Steuerjahr (anlage_v_layout_<JJJJ>) — PLATZHALTER, jährlich verschoben",Zeilen 13/14/32/33/37/42/47–50/82/84 unbestätigt,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),verify-before-production,28. Juli 2026 17:16,5. August 2026,https://www.elster.de,"Formular Anlage V (BMF/ELSTER), jahresversioniert",Konvention,07/2026
Zufluss-/Abflussprinzip + 10-Tage-Regel (Periodenzuordnung nach Zahlungsdatum),"Fenster 22.12.–10.01., beide Bedingungen (Fälligkeit UND Zahlung)",04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,https://www.gesetze-im-internet.de/estg/__11.html,"§ 11 Abs. 1 S. 2, Abs. 2 S. 2 EStG",Gesetz,07/2026
Weitergabe Mieter-Personendaten an StB + Datenminimierung im Buchungstext,,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32016R0679,Art. 6 Abs. 1 lit. c/f DSGVO,Verordnung,07/2026
"10-Tage-Regel — tragendes BFH-Aktenzeichen (ZITAT UNSICHER, kein Az. erfunden)",,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),verify-before-production,28. Juli 2026 17:16,5. August 2026,,"§ 11 Abs. 1 S. 2 EStG / BFH (Az. offen, ggf. VIII R 9/09)",Rechtsprechung,07/2026
"SKR03/SKR04-Default-Konten für private Vermietung — PLATZHALTER, kanzleiabhängig",,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),verify-before-production,28. Juli 2026 17:16,5. August 2026,,DATEV-Kontenrahmen SKR03/SKR04 (proprietär),Konvention,07/2026
"Befugnisgrenze Steuerhilfe — Ausfüllhilfe/Datentransport, keine Beratung/Übermittlung",,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,https://www.gesetze-im-internet.de/stberg/,§§ 1–5 StBerG,Gesetz,07/2026
Einkünfte aus Vermietung und Verpachtung — Überschussrechnung Einnahmen − Werbungskosten,,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,https://www.gesetze-im-internet.de/estg/__21.html,§ 21 EStG,Gesetz,07/2026
Aufbewahrungspflicht 6 Jahre ab Überschusseinkünften > 500.000 €,500.000 € / 6 Jahre,04 · Anlage V + DATEV-Export (https://app.notion.com/p/04-Anlage-V-DATEV-Export-3a95fd420731810c8a16dfe93cc85cbd?pvs=21),geprüft,28. Juli 2026 17:16,,https://www.gesetze-im-internet.de/ao_1977/__147a.html,§ 147a AO,Gesetz,07/2026
"W5 · Ortsübliche Vergleichsmiete = Input, keine Beschaffung (KONVENTION-OVM)",,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,,"§ 558a BGB (Begründungsmittel) — V1 manuelle Eingabe, keine Mietspiegel-API",Konvention,07/2026
W4 · UVI-Fälligkeit Monatsende (KONVENTION-D3),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__6a.html,§ 6a Abs. 1 Nr. 2 HeizkostenV — Fälligkeit Monatsende [UNSICHER: ganzjährig vs. Heizperiode],Konvention,10/2023
W8 · Leerstands-Schwelle + Geld-Framing (KONVENTION-L1/L2),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,,keine — Produktheuristik. Schwelle 30 Tage; entgangene Miete = sollMiete × Tage / 30,Heuristik,07/2026
W5 · Mieterhöhung zur ortsüblichen Vergleichsmiete,15 Monate unverändert; Erklärung frühestens 1 Jahr nach letzter Erhöhung; Obergrenze ortsübliche Vergleichsmiete,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__558.html,§ 558 Abs. 1 BGB,Gesetz,05/2026
W5 · Angespannter Wohnungsmarkt = LandesVO (KONVENTION-MARKT),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,,§ 558 Abs. 3 S. 2–3 BGB i.V.m. LandesVO — VO-Liste nicht mitgeliefert,Konvention,07/2026
W3 · Fristlose Kündigung bei Zahlungsverzug,"3a: 2 aufeinanderfolgende Termine, Rückstand > 1 Monatsmiete · 3b: > 2 Termine, Rückstand ≥ 2 Monatsmieten",05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__543.html,§ 543 Abs. 2 S. 1 Nr. 3 a/b BGB,Gesetz,05/2026
W5 · Kappungsgrenze 20 % / 15 %,max +20 % in 3 Jahren; 15 % in angespanntem Markt (LandesVO); § 559 + Betriebskostenerhöhungen außer Betracht,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__558.html,§ 558 Abs. 3 BGB,Gesetz,05/2026
W5 · Zustimmungs-/Wirksamkeits-/Klagefrist Mieterhöhung,Zustimmung bis Ablauf 2. Kalendermonat; Wirksamkeit ab Beginn 3. Kalendermonat; Klage +3 Monate,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__558b.html,§ 558b Abs. 1–2 BGB,Gesetz,05/2026
W3 · Erheblichkeitsschwelle Zahlungsverzug,Rückstand muss 1 Monatsmiete übersteigen (strikt >),05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__569.html,§ 569 Abs. 3 Nr. 1 BGB,Gesetz,05/2026
W3 · Bezugsgröße Verzug = Bruttowarmmiete (KONVENTION-B1),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,,keine — Produktkonvention (Bruttowarmmiete inkl. Vorauszahlungen),Konvention,07/2026
W1/W5 · Fristarithmetik Monatsaddition (KONVENTION-D1/D4/D5),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__188.html,"§§ 187, 188 BGB (Fristberechnung); D4 Einwendungsfrist § 188 II [UNSICHER: Monatsende-Lesart]",Konvention,07/2026
W3 · Schonfristzahlung heilt fristlose Kündigung,,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__569.html,§ 569 Abs. 3 Nr. 2 BGB,Gesetz,05/2026
W2 · Eich-Gültigkeit endet zum Jahresende (KONVENTION-D2),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,,keine sichere Fundstelle — eichrechtlich übliche Jahresende-Regel [UNSICHER],Konvention,07/2026
W2 · Eichfrist je Messgerätart,Kaltwasser 6 J · Warmwasser 5 J · WMZ 5 J · el. Stromzähler 8 J · Balgengaszähler 8 J. Konflikt: Zähler-Spec V1 nennt Warm/WMZ je 6 J.,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/messev/,MessEG § 34 / MessEV (Eichfristen) — [UNSICHER: exakte Anlagen-/§-Nummer],Verordnung,07/2026
W6 · Staffelmiete,Betrag je Stufe ausgewiesen; jede Staffel mind. 1 Jahr unverändert; § 558/§ 559 gesperrt,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__557a.html,§ 557a Abs. 1–2 BGB,Gesetz,05/2026
W7 · VPI-Berechnung proportional + Snapshot (KONVENTION-VPI),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www-genesis.destatis.de,"keine — Rechenkonvention; VPI-Quelle Destatis GENESIS 61111 (frei), ab V1 live angebunden (kein Platzhalter). Ausgangsindex als Snapshot, Basisjahr mitspeichern. [UNSICHER: proportional vs. differenzbasiert]",Konvention,07/2026
W5/W7 · Bezugsgröße = Nettokaltmiete (KONVENTION-B3),,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,,§ 558 / § 557b BGB knüpfen an die Nettokaltmiete an,Konvention,07/2026
W7 · Indexmiete,VPI Statist. Bundesamt; mind. 1 Jahr unverändert; Erklärung Textform mit Indexänderung,05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21),verify-before-production,28. Juli 2026 18:55,5. August 2026,https://www.gesetze-im-internet.de/bgb/__557b.html,§ 557b Abs. 1–3 BGB,Gesetz,05/2026
Schriftform Staffel-/Indexklausel,QES oder Papier; einfache E-Signatur (Textform) unzureichend → Klausel unwirksam,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,https://www.gesetze-im-internet.de/bgb/__557a.html,"§ 557a Abs. 1, § 557b Abs. 1, § 126/126a BGB",Gesetz,07/2026
Mietpreisbremse (§ 556d),+10 % über Vergleichsmiete; verlängert bis 31.12.2029,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,31. Dezember 2029,https://www.bundestag.de/dokumente/textarchiv/2025/kw26-de-mietpreisbremse-1084786,§ 556d BGB,Gesetz,07/2026
Kappungsgrenze angespannter Markt (§ 558),15 % / 3 Jahre (Geltungsgebiet je LandesVO),06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,5. August 2026,https://dejure.org/gesetze/BGB/558.html,§ 558 Abs. 3 S. 2 BGB + LandesVO,Verordnung,07/2026
Formzwang befristeter Vertrag über 1 Jahr,Schriftform; Verstoß → gilt als unbefristet (nicht nichtig),06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,,§ 550 BGB,Gesetz,07/2026
Verzugsschwelle fristlose Kündigung,über 1 Monatsmiete (2 Termine) bzw. ≥ 2 Monatsmieten (längerer Zeitraum),06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,,"§ 543 Abs. 2 Nr. 3, § 569 Abs. 3 BGB",Gesetz,07/2026
Indexmiete VPI-Bindung (§ 557b),VPI Destatis; Änderung ≥ 12 Monate; Änderungserklärung in Textform [UNSICHER: Mietrecht II plant Einschränkung],06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,31. Dezember 2026,https://dejure.org/gesetze/BGB/557b.html,§ 557b BGB,Gesetz,07/2026
Kappungsgrenze Standard (§ 558),20 % / 3 Jahre,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,https://dejure.org/gesetze/BGB/558.html,§ 558 Abs. 3 BGB,Gesetz,07/2026
Kleinreparaturen Jahresgrenze,ca. 6 % der Jahresnettokaltmiete,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,5. August 2026,,"§ 307 BGB (Rspr., kein gesetzlicher Wert)",Konvention,07/2026
Schonfristzahlung ordentliche Kündigung (geplant),"Ausweitung geplant, am 09.07.2026 NICHT in Kraft (BT-Drs. 21/6807, 1. Lesung)",06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,31. Dezember 2026,https://www.haufe.de/recht/weitere-rechtsgebiete/miet-immobilienrecht/mietrechtsreform-2026_214_684532.html,§ 569 Abs. 3 BGB (Entwurf Mietrecht II),Gesetz,07/2026
Modernisierung Umlagesatz (§ 559),8 % p. a. der auf die Wohnung entfallenden Kosten,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,https://dejure.org/gesetze/BGB/559.html,§ 559 Abs. 1 BGB,Gesetz,07/2026
Signatur-Gate V1,einfache E-Signatur nur ohne Staffel/Index freigeschaltet,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,5. August 2026,,"Produktregel (abgeleitet aus § 557a/b, § 550)",Konvention,07/2026
Kleinreparaturen Einzelgrenze,"ca. 100,00 € je Reparatur",06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,5. August 2026,,"§ 307 BGB (Rspr., kein gesetzlicher Wert)",Konvention,07/2026
Staffelmiete Mindestintervall (§ 557a),Miete je Stufe ≥ 12 Monate unverändert; Betrag absolut auszuweisen,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,https://www.gesetze-im-internet.de/bgb/__557a.html,"§ 557a Abs. 1, 2 BGB",Gesetz,07/2026
§ 556d Handling (Produkt),"warn-only + dokumentierte Selbstauskunft, kein Block",06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,28. Juli 2026 22:14,5. August 2026,,§§ 556d–556f BGB,Konvention,07/2026
Kaution (§ 551),"max 3 Nettokaltmieten, zahlbar in 3 Raten",06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,,"§ 551 Abs. 1, 2 BGB",Gesetz,07/2026
Modernisierung Kappung (§ 559),3 €/m² (2 €/m² wenn Ausgangsmiete unter 7 €/m²) in 6 Jahren,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),geprüft,28. Juli 2026 22:14,,https://www.gesetze-im-internet.de/bgb/__559.html,§ 559 Abs. 3a BGB,Gesetz,07/2026
Kaufpreisfaktor-Definition (KPI-K01),Kaufpreis ÷ Ist-Jahreskaltmiete,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,— (Marktusance),Konvention,07/2026
"Live-Ampel-Schwellen DSCR (1,00/1,20) + Cashflow (0/50 €) im Reglermodus (KPI-K19)",Schwellen,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Heuristik,07/2026
V+V-Überschussrechnung — Form der Steuerbemessung (KPI-R5),Einnahmen − Werbungskosten,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),geprüft,29. Juli 2026 13:41,,https://lxgesetze.de/estg/21,"§ 21, § 2 Abs. 2 Nr. 2 EStG",Gesetz,07/2026
"AfA-Satz-Default (Annahme, KPI-K05)","2,00 % linear",07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,https://lxgesetze.de/estg/7,§ 7 Abs. 4 EStG (Anwendung = Konvention),Konvention,07/2026
"Zins-Sensitivitätsband (Default ±100/±50 Bp, KPI-K17)",Bandbreite/Stufen,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Heuristik,07/2026
"Bank-PDF = Selbstauskunft, LTV zum Kaufpreis, Datenminimierung (KPI-K14)",LTV = Darlehen ÷ Kaufpreis,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
"EK-Rendite-Definition (vor+nach Steuer, inkl. Tilgung, KPI-K08)",—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
30/360-Zinsmethode im Annuitätenplan (KPI-R3),—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,"— (geerbt Seite 03, 10-K13)",Konvention,07/2026
"Finanzierungs-Regler: Zins = Stress, Tilgung = Struktur (Trade-off-Ausweis Pflicht, KPI-K18)",—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
"Finanzierung = Annahme vor Bankangebot (Quelle-Flag, Badge, KPI-K16)",—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
"Gebäudeanteil-Default (Annahme, KPI-K05)","75,00 %",07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
"Break-Even-Definition (Cashflow-Null vor+nach Steuer, Bewirtschaftung fix, KPI-K10)",—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
"Bewirtschaftungs-Abzugssplit (Wagnis/Rücklage nicht abzugsfähig, KPI-K09)",—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,§ 9 EStG (Abgrenzung),Konvention,07/2026
Bank-PDF = reine deterministische Sicht (KPI-K15),—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,— (geerbt Seite 04 Export-Architektur),Konvention,07/2026
AfA und Schuldzinsen als WK in der KPI-Steuerbemessung,—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),geprüft,29. Juli 2026 13:41,,https://lxgesetze.de/estg/9,§ 9 Abs. 1 S. 3 Nr. 1 + Nr. 7 EStG,Gesetz,07/2026
"DSCR-Definition (NOI ÷ Kapitaldienst, vor Steuer, KPI-K04)","Zielband 1,20–1,35",07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,— (Banken-Usance),Heuristik,07/2026
Brutto-/Nettomietrendite-Definition (KPI-K02/K03),—,07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,— (Marktusance),Konvention,07/2026
Grenzsteuersatz-Default (KPI-K13),"42,00 %",07 · Investment-KPIs (https://app.notion.com/p/07-Investment-KPIs-3a95fd4207318157a94ec8b5474bedba?pvs=21),verify-before-production,29. Juli 2026 13:41,5. August 2026,,—,Konvention,07/2026
SEPA-Lastschriftmandat — Einzug/Verfall,Einzug erfordert Gläubiger-ID + PIS; Mandat verfällt 36 Monate nach letzter Nutzung,06 · Vertragsklauseln — Risiko-Memo (https://app.notion.com/p/06-Vertragsklauseln-Risiko-Memo-3ab5fd420731813799c0c1b419eac4f3?pvs=21),verify-before-production,29. Juli 2026 14:07,5. August 2026,,SEPA-Rulebook / VO (EU) 260/2012,Verordnung,07/2026
Keine Betragstoleranz (exakt oder Teil-/Überzahlung),,08 · Bank-Matching (https://app.notion.com/p/08-Bank-Matching-3ac5fd42073181c3a63dd13b94ff4f57?pvs=21),verify-before-production,29. Juli 2026 14:11,,,,Konvention,07/2026
Reihenfolge innerhalb einer Schuld: Kosten → Zinsen → Hauptforderung,,08 · Bank-Matching (https://app.notion.com/p/08-Bank-Matching-3ac5fd42073181c3a63dd13b94ff4f57?pvs=21),geprüft,29. Juli 2026 14:11,,https://www.gesetze-im-internet.de/bgb/__367.html,§ 367 BGB,Gesetz,07/2026
Entscheidungsschwellen (Auto/Review/Unmatched),Auto=eindeutige IBAN; Review 40–79; Unmatched <40,08 · Bank-Matching (https://app.notion.com/p/08-Bank-Matching-3ac5fd42073181c3a63dd13b94ff4f57?pvs=21),verify-before-production,29. Juli 2026 14:11,,,,Konvention,07/2026
Signalgewichte Bank-Matching,IBAN 60 / mehrdeutig 20; Betrag 30; Code 15; E2E 15; Nachname 10; Monat 5,08 · Bank-Matching (https://app.notion.com/p/08-Bank-Matching-3ac5fd42073181c3a63dd13b94ff4f57?pvs=21),verify-before-production,29. Juli 2026 14:11,,,,Konvention,07/2026
Proportionaler Komponenten-Split (Miete/NK-VZ/Heiz-VZ) bei Teilzahlung,"Komp·P/expected, Largest-Remainder",08 · Bank-Matching (https://app.notion.com/p/08-Bank-Matching-3ac5fd42073181c3a63dd13b94ff4f57?pvs=21),verify-before-production,29. Juli 2026 14:11,,,,Konvention,07/2026
"FIFO ohne Bestimmung: fällige vor nicht fälligen, ältere zuerst",,08 · Bank-Matching (https://app.notion.com/p/08-Bank-Matching-3ac5fd42073181c3a63dd13b94ff4f57?pvs=21),geprüft,29. Juli 2026 14:11,,https://www.gesetze-im-internet.de/bgb/__366.html,§ 366 Abs. 2 BGB,Gesetz,07/2026
